"ID","Hits","Indirect hits","Conflicts"
"K00748","2","0","0"
"K01740","2","0","0"
"K01942","2","0","2"
"K08744","2","0","0"
"K00231","2","0","0"
"K09659","2","0","2"
"K17722","2","0","2"
"K01106","2","0","0"
"K02153","2","0","2"
"K01557","2","0","2"
"K01915","2","0","0"
"K02131","2","0","2"
"K01760","2","0","2"
"K01808","2","0","2"
"K01077","2","0","1"
"K02291","2","0","0"
"K00140","2","0","0"
"K03644","2","0","0"
"K00611","2","0","0"
"K03841","2","0","1"
"K01438","2","0","1"
"K00798","2","0","0"
"K00759","2","0","1"
"K00026","2","0","2"
"K14652","2","0","0"
"K12506","2","0","0"
"K01488","2","0","1"
"K17723","2","0","2"
"K01626","2","0","0"
"K00747","2","0","0"
"K03846","2","0","0"
"K02126","2","0","2"
"K00941","2","0","0"
"K01115","2","0","0"
"K00025","2","0","2"
"K02128","2","0","2"
"K01756","2","0","0"
"K14157","2","0","0"
"K08967","2","0","0"
"K04487","2","0","0"
"K00457","2","0","0"
"K01555","2","0","2"
"K02148","2","0","2"
"K00281","2","0","0"
"K01594","2","0","0"
"K00771","2","0","0"
"K01196","2","0","2"
"K02151","2","0","2"
"K05605","2","0","0"
"K00850","2","0","1"
"K00239","2","0","2"
"K01431","2","0","2"
"K03843","2","0","0"
"K00220","2","0","0"
"K01176","2","0","0"
"K00294","2","0","2"
"K19221","2","0","0"
"K00620","2","0","1"
"K05936","2","0","0"
"K02138","2","0","2"
"K01006","2","0","1"
"K03848","2","0","0"
"K08764","2","0","0"
"K02135","2","0","2"
"K01255","2","0","2"
"K02233","2","0","0"
"K01754","2","0","1"
"K11140","2","0","2"
"K00013","2","0","0"
"K02146","2","0","2"
"K05366","2","0","0"
"K00968","2","0","0"
"K05934","2","0","0"
"K02150","2","0","2"
"K00943","2","0","0"
"K11263","2","0","1"
"K00831","2","0","0"
"K13524","2","0","2"
"K03372","2","0","0"
"K00237","2","0","2"
"K00591","2","0","1"
"K01485","2","0","0"
"K00240","2","0","2"
"K00876","2","0","0"
"K13481","2","0","2"
"K01243","2","0","0"
"K00753","2","0","0"
"K03845","2","0","0"
"K00207","2","0","2"
"K05895","2","0","0"
"K00126","2","0","0"
"K16055","2","0","2"
"K02133","2","0","2"
"K00658","2","0","0"
"K15376","2","0","1"
"K12668","2","0","0"
"K01821","2","0","0"
"K04042","2","0","1"
"K11178","2","0","2"
"K00241","2","0","2"
"K00002","2","0","1"
"K03662","2","0","2"
"K02231","2","0","0"
"K02130","2","0","2"
"K04765","2","0","1"
"K01895","2","0","1"
"K11752","2","0","0"
"K00286","2","0","1"
"K20967","2","0","2"
"K01217","2","0","0"
"K00794","2","0","0"
"K00480","2","0","0"
"K02155","2","0","2"
"K01599","2","0","0"
"K01230","2","0","0"
"K12667","2","0","0"
"K01755","2","0","0"
"K01046","2","0","0"
"K01464","2","0","0"
"K01107","2","0","0"
"K00242","2","0","2"
"K02145","2","0","2"
"K01587","2","0","1"
"K02125","2","0","2"
"K16165","2","0","2"
"K01940","2","0","0"
"K01137","2","0","0"
"K00927","2","0","0"
"K02227","2","0","0"
"K00236","2","0","2"
"K01435","2","0","0"
"K00278","2","0","0"
"K00124","2","0","0"
"K03524","2","0","2"
"K01807","2","0","2"
"K00052","2","0","0"
"K06042","2","0","0"
"K18592","2","0","1"
"K01620","2","0","0"
"K01078","2","0","2"
"K00762","2","0","2"
"K01625","2","0","0"
"K00654","2","0","0"
"K12972","2","0","2"
"K02370","2","0","0"
"K03394","2","0","0"
"K01617","2","0","0"
"K03381","2","0","0"
"K12670","2","0","0"
"K00821","2","0","0"
"K00134","2","0","0"
"K03801","2","0","0"
"K01179","2","0","0"
"K01737","2","0","0"
"K01080","2","0","1"
"K01109","2","0","0"
"K01610","2","0","1"
"K00967","2","0","0"
"K00123","2","0","0"
"K02127","2","0","2"
"K12669","2","0","0"
"K01476","2","0","0"
"K02225","2","0","0"
"K01556","2","0","0"
"K00234","2","0","2"
"K01647","2","0","2"
"K13510","2","0","0"
"K02154","2","0","2"
"K00925","2","0","0"
"K01698","1","0","0"
"K01711","1","0","0"
"K19801","1","0","0"
